ds,yhat,State
2024-01-27,90900757.01693746,Kansas
2024-01-28,89574094.09736244,Kansas
2023-12-04,173055088.26159033,Kentucky
2023-12-05,166997561.95562834,Kentucky
2023-12-06,183264480.38821736,Kentucky
2023-12-07,163230330.18231514,Kentucky
2023-12-08,165438531.7062616,Kentucky
2023-12-09,169876059.09507555,Kentucky
2023-12-10,167296361.59501293,Kentucky
2023-12-11,170856320.2704242,Kentucky
2023-12-12,165411787.4796309,Kentucky
2023-12-13,182355304.81221044,Kentucky
2023-12-14,163041247.69482183,Kentucky
2023-12-15,165991686.23128352,Kentucky
2023-12-16,171171618.06850064,Kentucky
2023-12-17,169312517.96033716,Kentucky
2023-12-18,173549920.1923243,Kentucky
2023-12-19,168719563.53032297,Kentucky
2023-12-20,186195677.2751129,Kentucky
2023-12-21,167316640.63854393,Kentucky
2023-12-22,170591290.59069598,Kentucky
2023-12-23,175974521.53005344,Kentucky
2023-12-24,174191111.34073496,Kentucky
2023-12-25,178373482.49840114,Kentucky
2023-12-26,173357923.20772344,Kentucky
2023-12-27,190522845.41090158,Kentucky
2023-12-28,171214313.1263868,Kentucky
2023-12-29,173952120.44519246,Kentucky
2023-12-30,178705069.52720097,Kentucky
2023-12-31,176214392.745399,Kentucky
2024-01-01,179631039.54740304,Kentucky
2024-01-02,173811366.8830754,Kentucky
2024-01-03,190154825.47308022,Kentucky
2024-01-04,170028891.9224192,Kentucky
2024-01-05,171974543.18898267,Kentucky
2024-01-06,175980941.0688168,Kentucky
2024-01-07,172808287.80647054,Kentucky
2024-01-08,175624589.5149903,Kentucky
2024-01-09,169300881.0597006,Kentucky
2024-01-10,185248517.7584854,Kentucky
2024-01-11,164843794.8792331,Kentucky
2024-01-12,166633200.0120108,Kentucky
2024-01-13,170607971.8965512,Kentucky
2024-01-14,167526929.92429605,Kentucky
2024-01-15,170553311.21705067,Kentucky
2024-01-16,164550166.27310938,Kentucky
2024-01-17,180917913.0667968,Kentucky
2024-01-18,161019302.48797068,Kentucky
2024-01-19,163385089.71607393,Kentucky
2024-01-20,167989072.55111003,Kentucky
2024-01-21,165571446.65925655,Kentucky
2024-01-22,169276199.08732834,Kentucky
2024-01-23,163947074.65958682,Kentucky
2024-01-24,180965698.41606623,Kentucky
2024-01-25,161677090.38379344,Kentucky
2024-01-26,164595851.3003465,Kentucky
2024-01-27,169681665.41395763,Kentucky
2024-01-28,167663056.9302572,Kentucky
2023-12-04,183646702.3238099,Louisiana
2023-12-05,181402571.37863013,Louisiana
2023-12-06,196192363.29340503,Louisiana
2023-12-07,174998968.3154994,Louisiana
2023-12-08,178993518.2089807,Louisiana
2023-12-09,186141043.9225296,Louisiana
2023-12-10,178688771.72087976,Louisiana
2023-12-11,181544144.41779658,Louisiana
2023-12-12,179721817.1292538,Louisiana
2023-12-13,194989744.42766887,Louisiana
2023-12-14,174315331.5504029,Louisiana
2023-12-15,178853055.94817078,Louisiana
2023-12-16,186550627.3757093,Louisiana
2023-12-17,179637802.68846554,Louisiana
2023-12-18,183004926.85685742,Louisiana
2023-12-19,181650434.53066593,Louisiana
2023-12-20,197327414.4171974,Louisiana
2023-12-21,176990195.4010179,Louisiana
2023-12-22,181782348.2510271,Louisiana
2023-12-23,189643160.31564182,Louisiana
2023-12-24,182796690.51743868,Louisiana
2023-12-25,186130469.4998583,Louisiana
2023-12-26,184643074.98652235,Louisiana
